Class,precision,recall,f1-score,support,accuracy,category_name
0,0.782608695652174,0.6666666666666666,0.72,27.0,0.6666666666666666,Mapping
1,0.631578947368421,0.5454545454545454,0.5853658536585366,22.0,0.5454545454545454,Enterprise
2,0.7647058823529411,0.5909090909090909,0.6666666666666667,22.0,0.5909090909090909,eCommerce
3,0.6666666666666666,0.5714285714285714,0.6153846153846153,21.0,0.5714285714285714,Financial
4,0.8260869565217391,0.8636363636363636,0.8444444444444444,22.0,0.8636363636363636,Government
5,0.8,0.8,0.8000000000000002,25.0,0.8,Social
6,0.85,0.85,0.85,20.0,0.85,Payments
7,0.6896551724137931,0.8,0.7407407407407408,25.0,0.8,Tools
8,0.4827586206896552,0.56,0.5185185185185185,25.0,0.56,Messaging
9,0.6818181818181818,0.6,0.6382978723404256,25.0,0.6,Science
10,0.9444444444444444,0.85,0.8947368421052632,20.0,0.85,Telephony
11,0.8421052631578947,0.64,0.7272727272727272,25.0,0.64,Video
12,0.8620689655172413,0.8928571428571429,0.8771929824561403,28.0,0.8928571428571429,Search
13,0.3939393939393939,0.43333333333333335,0.4126984126984127,30.0,0.43333333333333335,Advertising
14,0.7619047619047619,0.8,0.7804878048780488,20.0,0.8,Reference
15,0.9333333333333333,0.6363636363636364,0.7567567567567568,22.0,0.6363636363636364,Travel
16,0.6896551724137931,1.0,0.8163265306122449,20.0,1.0,Transportation
17,0.625,0.6666666666666666,0.6451612903225806,30.0,0.6666666666666666,Email
18,0.9047619047619048,0.76,0.8260869565217391,25.0,0.76,Sports
19,0.7096774193548387,0.7333333333333333,0.7213114754098361,30.0,0.7333333333333333,Project Management
20,0.6956521739130435,0.8,0.7441860465116279,20.0,0.8,Data
21,0.8421052631578947,0.7272727272727273,0.7804878048780488,22.0,0.7272727272727273,Games
22,0.6923076923076923,0.9,0.7826086956521738,30.0,0.9,Bitcoin
23,0.7777777777777778,0.7,0.7368421052631577,20.0,0.7,Education
24,0.9473684210526315,0.8181818181818182,0.8780487804878049,22.0,0.8181818181818182,Cloud
25,0.7352941176470589,0.8333333333333334,0.78125,30.0,0.8333333333333334,Music
26,0.9444444444444444,0.68,0.7906976744186047,25.0,0.68,Photos
27,1.0,1.0,1.0,20.0,1.0,Database
28,0.6666666666666666,0.6,0.631578947368421,20.0,0.6,Internet of Things
29,0.9130434782608695,0.9545454545454546,0.9333333333333332,22.0,0.9545454545454546,Shipping
30,0.7567567567567568,0.9333333333333333,0.835820895522388,30.0,0.9333333333333333,Application Development
31,0.7037037037037037,0.76,0.7307692307692308,25.0,0.76,Events
32,0.782608695652174,0.72,0.7499999999999999,25.0,0.72,Banking
33,0.8333333333333334,0.75,0.7894736842105262,20.0,0.75,Stocks
34,0.20689655172413793,0.21428571428571427,0.21052631578947367,28.0,0.21428571428571427,Medical
35,0.6190476190476191,0.8666666666666667,0.7222222222222222,30.0,0.8666666666666667,Analytics
36,0.6451612903225806,0.7142857142857143,0.6779661016949152,28.0,0.7142857142857143,Other
37,0.8181818181818182,0.8571428571428571,0.8372093023255814,21.0,0.8571428571428571,Security
38,0.9565217391304348,1.0,0.9777777777777777,22.0,1.0,Backend
39,0.967741935483871,1.0,0.9836065573770492,30.0,1.0,News Services
40,0.9259259259259259,0.8928571428571429,0.9090909090909091,28.0,0.8928571428571429,Domains
41,1.0,0.8636363636363636,0.9268292682926829,22.0,0.8636363636363636,File Sharing
42,0.9166666666666666,0.55,0.6874999999999999,20.0,0.55,Images
43,0.7931034482758621,0.7666666666666667,0.7796610169491527,30.0,0.7666666666666667,Real Estate
44,0.20588235294117646,0.23333333333333334,0.21874999999999997,30.0,0.23333333333333334,Entertainment
45,0.8695652173913043,0.7142857142857143,0.7843137254901961,28.0,0.7142857142857143,Chat
46,0.71875,0.8214285714285714,0.7666666666666666,28.0,0.8214285714285714,Media
47,0.9090909090909091,0.7142857142857143,0.8,28.0,0.7142857142857143,Storage
48,1.0,1.0,1.0,20.0,1.0,Office
49,0.6060606060606061,0.6666666666666666,0.6349206349206349,30.0,0.6666666666666666,Weather
accuracy,0.7415185783521809,0.7415185783521809,0.7415185783521809,0.7415185783521809,,accuracy
macro avg,0.7658485677445629,0.7462571428571428,0.7503917637560055,1238.0,,macro avg
weighted avg,0.755047035034303,0.7415185783521809,0.7427963354357582,1238.0,,weighted avg
